cAzimuth,cElevation,time
10.0,20.0,1500.0
-30.0,20.0,1504.0
-70.0,20.0,1508.0
-90.0,20.0,1512.0
-50.0,20.0,1516.0
-10.0,20.0,1520.0
30.0,20.0,1524.0
70.0,20.0,1528.0
90.0,20.0,1532.0
50.0,20.0,1536.0
10.0,20.0,1540.0
-30.0,20.0,1544.0
-70.0,20.0,1548.0
-90.0,20.0,1552.0
-50.0,20.0,1556.0
-10.0,20.0,1560.0
30.0,20.0,1564.0
70.0,20.0,1568.0
90.0,20.0,1572.0
50.0,20.0,1576.0
10.0,20.0,1580.0
-30.0,20.0,1584.0
-70.0,20.0,1588.0
-90.0,20.0,1592.0
-50.0,20.0,1596.0
-10.0,20.0,1600.0
30.0,20.0,1604.0
70.0,20.0,1608.0
90.0,20.0,1612.0
50.0,20.0,1616.0
10.0,20.0,1620.0
-30.0,20.0,1624.0
-70.0,20.0,1628.0
-90.0,20.0,1632.0
-50.0,20.0,1636.0
-10.0,20.0,1640.0
30.0,20.0,1644.0
70.0,20.0,1648.0
90.0,20.0,1652.0
50.0,20.0,1656.0
10.0,20.0,1660.0
-30.0,20.0,1664.0
-70.0,20.0,1668.0
-90.0,20.0,1672.0
-50.0,20.0,1676.0
-10.0,20.0,1680.0
30.0,20.0,1684.0
70.0,20.0,1688.0
90.0,20.0,1692.0
50.0,20.0,1696.0
10.0,20.0,1700.0
-30.0,20.0,1704.0
-70.0,20.0,1708.0
-90.0,20.0,1712.0
-50.0,20.0,1716.0
-10.0,20.0,1720.0
30.0,20.0,1724.0
70.0,20.0,1728.0
90.0,20.0,1732.0
50.0,20.0,1736.0
10.0,20.0,1740.0
-30.0,20.0,1744.0
-70.0,20.0,1748.0
-90.0,20.0,1752.0
-50.0,20.0,1756.0
-10.0,20.0,1760.0
30.0,20.0,1764.0
70.0,20.0,1768.0
90.0,20.0,1772.0
50.0,20.0,1776.0
10.0,20.0,1780.0
-30.0,20.0,1784.0
-70.0,20.0,1788.0
-90.0,20.0,1792.0
-50.0,20.0,1796.0
-10.0,20.0,1800.0
30.0,20.0,1804.0
70.0,20.0,1808.0
90.0,20.0,1812.0
50.0,20.0,1816.0
10.0,20.0,1820.0
-30.0,20.0,1824.0
-70.0,20.0,1828.0
-90.0,20.0,1832.0
-50.0,20.0,1836.0
-10.0,20.0,1840.0
30.0,20.0,1844.0
