cAzimuth,cElevation,time
90.0,70.0,1854.0
60.0,70.0,1856.0
30.0,70.0,1858.0
0.0,70.0,1860.0
-30.0,70.0,1862.0
-60.0,70.0,1864.0
-90.0,70.0,1866.0
-60.0,70.0,1868.0
-30.0,70.0,1870.0
0.0,70.0,1872.0
30.0,70.0,1874.0
60.0,70.0,1876.0
90.0,70.0,1878.0
60.0,70.0,1880.0
30.0,70.0,1882.0
0.0,70.0,1884.0
-30.0,70.0,1886.0
-60.0,70.0,1888.0
-90.0,70.0,1890.0
-60.0,70.0,1892.0
-30.0,70.0,1894.0
0.0,70.0,1896.0
30.0,70.0,1898.0
60.0,70.0,1900.0
90.0,70.0,1902.0
60.0,70.0,1904.0
30.0,70.0,1906.0
0.0,70.0,1908.0
-30.0,70.0,1910.0
-60.0,70.0,1912.0
-90.0,70.0,1914.0
-60.0,70.0,1916.0
-30.0,70.0,1918.0
0.0,70.0,1920.0
30.0,70.0,1922.0
60.0,70.0,1924.0
90.0,70.0,1926.0
60.0,70.0,1928.0
30.0,70.0,1930.0
0.0,70.0,1932.0
-30.0,70.0,1934.0
-60.0,70.0,1936.0
-90.0,70.0,1938.0
-60.0,70.0,1940.0
-30.0,70.0,1942.0
0.0,70.0,1944.0
30.0,70.0,1946.0
60.0,70.0,1948.0
90.0,70.0,1950.0
60.0,70.0,1952.0
30.0,70.0,1954.0
0.0,70.0,1956.0
-30.0,70.0,1958.0
-60.0,70.0,1960.0
-90.0,70.0,1962.0
-60.0,70.0,1964.0
-30.0,70.0,1966.0
0.0,70.0,1968.0
30.0,70.0,1970.0
60.0,70.0,1972.0
90.0,70.0,1974.0
60.0,70.0,1976.0
30.0,70.0,1978.0
0.0,70.0,1980.0
-30.0,70.0,1982.0
-60.0,70.0,1984.0
-90.0,70.0,1986.0
-60.0,70.0,1988.0
-30.0,70.0,1990.0
0.0,70.0,1992.0
30.0,70.0,1994.0
60.0,70.0,1996.0
90.0,70.0,1998.0
60.0,70.0,2000.0
30.0,70.0,2002.0
0.0,70.0,2004.0
-30.0,70.0,2006.0
-60.0,70.0,2008.0
-90.0,70.0,2010.0
-60.0,70.0,2012.0
-30.0,70.0,2014.0
0.0,70.0,2016.0
30.0,70.0,2018.0
60.0,70.0,2020.0
90.0,70.0,2022.0
60.0,70.0,2024.0
30.0,70.0,2026.0
0.0,70.0,2028.0
-30.0,70.0,2030.0
-60.0,70.0,2032.0
-90.0,70.0,2034.0
-60.0,70.0,2036.0
-30.0,70.0,2038.0
0.0,70.0,2040.0
30.0,70.0,2042.0
60.0,70.0,2044.0
90.0,70.0,2046.0
60.0,70.0,2048.0
30.0,70.0,2050.0
0.0,70.0,2052.0
-30.0,70.0,2054.0
-60.0,70.0,2056.0
-90.0,70.0,2058.0
-60.0,70.0,2060.0
-30.0,70.0,2062.0
0.0,70.0,2064.0
30.0,70.0,2066.0
60.0,70.0,2068.0
90.0,70.0,2070.0
60.0,70.0,2072.0
30.0,70.0,2074.0
0.0,70.0,2076.0
-30.0,70.0,2078.0
-60.0,70.0,2080.0
-90.0,70.0,2082.0
-60.0,70.0,2084.0
-30.0,70.0,2086.0
0.0,70.0,2088.0
30.0,70.0,2090.0
60.0,70.0,2092.0
90.0,70.0,2094.0
60.0,70.0,2096.0
30.0,70.0,2098.0
0.0,70.0,2100.0
-30.0,70.0,2102.0
-60.0,70.0,2104.0
-90.0,70.0,2106.0
-60.0,70.0,2108.0
-30.0,70.0,2110.0
0.0,70.0,2112.0
30.0,70.0,2114.0
60.0,70.0,2116.0
90.0,70.0,2118.0
60.0,70.0,2120.0
30.0,70.0,2122.0
0.0,70.0,2124.0
-30.0,70.0,2126.0
-60.0,70.0,2128.0
-90.0,70.0,2130.0
-60.0,70.0,2132.0
-30.0,70.0,2134.0
0.0,70.0,2136.0
30.0,70.0,2138.0
60.0,70.0,2140.0
90.0,70.0,2142.0
60.0,70.0,2144.0
30.0,70.0,2146.0
0.0,70.0,2148.0
-30.0,70.0,2150.0
-60.0,70.0,2152.0
-90.0,70.0,2154.0
-60.0,70.0,2156.0
-30.0,70.0,2158.0
0.0,70.0,2160.0
30.0,70.0,2162.0
60.0,70.0,2164.0
90.0,70.0,2166.0
60.0,70.0,2168.0
30.0,70.0,2170.0
0.0,70.0,2172.0
-30.0,70.0,2174.0
-60.0,70.0,2176.0
-90.0,70.0,2178.0
-60.0,70.0,2180.0
-30.0,70.0,2182.0
0.0,70.0,2184.0
30.0,70.0,2186.0
60.0,70.0,2188.0
90.0,70.0,2190.0
60.0,70.0,2192.0
30.0,70.0,2194.0
0.0,70.0,2196.0
-30.0,70.0,2198.0
-60.0,70.0,2200.0
-90.0,70.0,2202.0
-60.0,70.0,2204.0
-30.0,70.0,2206.0
0.0,70.0,2208.0
30.0,70.0,2210.0
60.0,70.0,2212.0
90.0,70.0,2214.0
60.0,70.0,2216.0
30.0,70.0,2218.0
0.0,70.0,2220.0
-30.0,70.0,2222.0
-60.0,70.0,2224.0
-90.0,70.0,2226.0
-60.0,70.0,2228.0
-30.0,70.0,2230.0
0.0,70.0,2232.0
30.0,70.0,2234.0
60.0,70.0,2236.0
90.0,70.0,2238.0
60.0,70.0,2240.0
30.0,70.0,2242.0
0.0,70.0,2244.0
-30.0,70.0,2246.0
-60.0,70.0,2248.0
-90.0,70.0,2250.0
-60.0,70.0,2252.0
-30.0,70.0,2254.0
0.0,70.0,2256.0
30.0,70.0,2258.0
60.0,70.0,2260.0
90.0,70.0,2262.0
60.0,70.0,2264.0
30.0,70.0,2266.0
0.0,70.0,2268.0
-30.0,70.0,2270.0
-60.0,70.0,2272.0
-90.0,70.0,2274.0
-60.0,70.0,2276.0
-30.0,70.0,2278.0
0.0,70.0,2280.0
30.0,70.0,2282.0
60.0,70.0,2284.0
90.0,70.0,2286.0
60.0,70.0,2288.0
30.0,70.0,2290.0
0.0,70.0,2292.0
-30.0,70.0,2294.0
-60.0,70.0,2296.0
-90.0,70.0,2298.0
-60.0,70.0,2300.0
-30.0,70.0,2302.0
0.0,70.0,2304.0
30.0,70.0,2306.0
60.0,70.0,2308.0
90.0,70.0,2310.0
60.0,70.0,2312.0
30.0,70.0,2314.0
0.0,70.0,2316.0
-30.0,70.0,2318.0
-60.0,70.0,2320.0
-90.0,70.0,2322.0
-60.0,70.0,2324.0
-30.0,70.0,2326.0
0.0,70.0,2328.0
30.0,70.0,2330.0
60.0,70.0,2332.0
90.0,70.0,2334.0
60.0,70.0,2336.0
30.0,70.0,2338.0
0.0,70.0,2340.0
-30.0,70.0,2342.0
-60.0,70.0,2344.0
-90.0,70.0,2346.0
-60.0,70.0,2348.0
-30.0,70.0,2350.0
0.0,70.0,2352.0
30.0,70.0,2354.0
60.0,70.0,2356.0
90.0,70.0,2358.0
60.0,70.0,2360.0
30.0,70.0,2362.0
0.0,70.0,2364.0
-30.0,70.0,2366.0
-60.0,70.0,2368.0
-90.0,70.0,2370.0
-60.0,70.0,2372.0
-30.0,70.0,2374.0
0.0,70.0,2376.0
30.0,70.0,2378.0
60.0,70.0,2380.0
90.0,70.0,2382.0
60.0,70.0,2384.0
30.0,70.0,2386.0
0.0,70.0,2388.0
-30.0,70.0,2390.0
-60.0,70.0,2392.0
-90.0,70.0,2394.0
-60.0,70.0,2396.0
-30.0,70.0,2398.0
0.0,70.0,2400.0
30.0,70.0,2402.0
60.0,70.0,2404.0
90.0,70.0,2406.0
60.0,70.0,2408.0
30.0,70.0,2410.0
0.0,70.0,2412.0
-30.0,70.0,2414.0
-60.0,70.0,2416.0
-90.0,70.0,2418.0
-60.0,70.0,2420.0
-30.0,70.0,2422.0
0.0,70.0,2424.0
30.0,70.0,2426.0
60.0,70.0,2428.0
90.0,70.0,2430.0
60.0,70.0,2432.0
30.0,70.0,2434.0
0.0,70.0,2436.0
-30.0,70.0,2438.0
-60.0,70.0,2440.0
-90.0,70.0,2442.0
-60.0,70.0,2444.0
-30.0,70.0,2446.0
0.0,70.0,2448.0
30.0,70.0,2450.0
60.0,70.0,2452.0
90.0,70.0,2454.0
60.0,70.0,2456.0
30.0,70.0,2458.0
0.0,70.0,2460.0
-30.0,70.0,2462.0
-60.0,70.0,2464.0
-90.0,70.0,2466.0
-60.0,70.0,2468.0
-30.0,70.0,2470.0
0.0,70.0,2472.0
30.0,70.0,2474.0
60.0,70.0,2476.0
90.0,70.0,2478.0
60.0,70.0,2480.0
30.0,70.0,2482.0
0.0,70.0,2484.0
-30.0,70.0,2486.0
-60.0,70.0,2488.0
-90.0,70.0,2490.0
-60.0,70.0,2492.0
-30.0,70.0,2494.0
0.0,70.0,2496.0
30.0,70.0,2498.0
60.0,70.0,2500.0
90.0,70.0,2502.0
60.0,70.0,2504.0
30.0,70.0,2506.0
0.0,70.0,2508.0
-30.0,70.0,2510.0
-60.0,70.0,2512.0
-90.0,70.0,2514.0
-60.0,70.0,2516.0
-30.0,70.0,2518.0
0.0,70.0,2520.0
30.0,70.0,2522.0
60.0,70.0,2524.0
90.0,70.0,2526.0
60.0,70.0,2528.0
30.0,70.0,2530.0
0.0,70.0,2532.0
-30.0,70.0,2534.0
-60.0,70.0,2536.0
-90.0,70.0,2538.0
-60.0,70.0,2540.0
-30.0,70.0,2542.0
0.0,70.0,2544.0
30.0,70.0,2546.0
60.0,70.0,2548.0
90.0,70.0,2550.0
60.0,70.0,2552.0
30.0,70.0,2554.0
0.0,70.0,2556.0
-30.0,70.0,2558.0
-60.0,70.0,2560.0
-90.0,70.0,2562.0
-60.0,70.0,2564.0
-30.0,70.0,2566.0
0.0,70.0,2568.0
30.0,70.0,2570.0
60.0,70.0,2572.0
90.0,70.0,2574.0
60.0,70.0,2576.0
30.0,70.0,2578.0
0.0,70.0,2580.0
-30.0,70.0,2582.0
-60.0,70.0,2584.0
-90.0,70.0,2586.0
-60.0,70.0,2588.0
-30.0,70.0,2590.0
0.0,70.0,2592.0
30.0,70.0,2594.0
60.0,70.0,2596.0
90.0,70.0,2598.0
60.0,70.0,2600.0
30.0,70.0,2602.0
0.0,70.0,2604.0
-30.0,70.0,2606.0
-60.0,70.0,2608.0
-90.0,70.0,2610.0
-60.0,70.0,2612.0
-30.0,70.0,2614.0
0.0,70.0,2616.0
30.0,70.0,2618.0
